Protein,Filename,Chain
1VLO,pdb1vlo.ent.gz,A
5N40,pdb5n40.ent.gz,A
5FZP,pdb5fzp.ent.gz,A
3FM0,pdb3fm0.ent.gz,A
5O4J,pdb5o4j.ent.gz,A
3LM2,pdb3lm2.ent.gz,A
3S2S,pdb3s2s.ent.gz,A
3LWK,pdb3lwk.ent.gz,A
5AIZ,pdb5aiz.ent.gz,A
4X7F,pdb4x7f.ent.gz,C
2OD4,pdb2od4.ent.gz,A
6S5X,pdb6s5x.ent.gz,A
2FAF,pdb2faf.ent.gz,A
3DJL,pdb3djl.ent.gz,A
5FXD,pdb5fxd.ent.gz,A
2WYA,pdb2wya.ent.gz,A
7YEO,7YEO.pdb.gz,A
1QCX,pdb1qcx.ent.gz,A
1LLP,pdb1llp.ent.gz,A
2NXF,pdb2nxf.ent.gz,A
4OPM,pdb4opm.ent.gz,A
6DEB,pdb6deb.ent.gz,A
7DJS,pdb7djs.ent.gz,A
3BY9,pdb3by9.ent.gz,A
5NDE,pdb5nde.ent.gz,A
3DTT,pdb3dtt.ent.gz,A
5UTT,pdb5utt.ent.gz,A
3G5P,pdb3g5p.ent.gz,A
4UT7,pdb4ut7.ent.gz,L
4UT7,pdb4ut7.ent.gz,H
1ZKI,pdb1zki.ent.gz,A
4JW0,pdb4jw0.ent.gz,A
6AO8,pdb6ao8.ent.gz,A
3IHV,pdb3ihv.ent.gz,A
4CLL,pdb4cll.ent.gz,A
2X98,pdb2x98.ent.gz,A
6F0C,pdb6f0c.ent.gz,A
6NE6,pdb6ne6.ent.gz,A
5GMS,pdb5gms.ent.gz,A
5TT0,pdb5tt0.ent.gz,A
3LUM,pdb3lum.ent.gz,A
4LM6,pdb4lm6.ent.gz,B
2W3J,pdb2w3j.ent.gz,A
2VBU,pdb2vbu.ent.gz,A
5IU1,pdb5iu1.ent.gz,A
4WHI,pdb4whi.ent.gz,A
4LM6,pdb4lm6.ent.gz,A
7BVD,pdb7bvd.ent.gz,A
4YZO,pdb4yzo.ent.gz,A
4BLP,pdb4blp.ent.gz,A
5ZCM,pdb5zcm.ent.gz,A
4XEQ,pdb4xeq.ent.gz,A
2A14,pdb2a14.ent.gz,A
2G5X,pdb2g5x.ent.gz,A
3KD3,pdb3kd3.ent.gz,A
2CXX,pdb2cxx.ent.gz,A
2JG6,pdb2jg6.ent.gz,A
5BQP,pdb5bqp.ent.gz,A
6KYJ,pdb6kyj.ent.gz,S
7DC9,pdb7dc9.ent.gz,A
2ONF,pdb2onf.ent.gz,A
5J57,pdb5j57.ent.gz,B
4WFT,pdb4wft.ent.gz,A
1YQH,pdb1yqh.ent.gz,A
7A2U,pdb7a2u.ent.gz,A
3T7D,pdb3t7d.ent.gz,A
4C5W,pdb4c5w.ent.gz,A
5W7Z,pdb5w7z.ent.gz,A
3OP7,pdb3op7.ent.gz,A
2Q40,pdb2q40.ent.gz,A
2C6Q,pdb2c6q.ent.gz,A
2ETV,pdb2etv.ent.gz,A
2VOZ,pdb2voz.ent.gz,A
7XG7,7XG7.pdb.gz,A
3P4G,pdb3p4g.ent.gz,A
6MAB,pdb6mab.ent.gz,A
6MK6,pdb6mk6.ent.gz,A
2XGR,pdb2xgr.ent.gz,A
6KKB,pdb6kkb.ent.gz,X
4OJ0,pdb4oj0.ent.gz,A
4WGJ,pdb4wgj.ent.gz,A
3VAA,pdb3vaa.ent.gz,A
4ESQ,pdb4esq.ent.gz,A
7OCM,pdb7ocm.ent.gz,A
4G3V,pdb4g3v.ent.gz,A
5J5L,pdb5j5l.ent.gz,A
3C3M,pdb3c3m.ent.gz,A
2RLD,pdb2rld.ent.gz,A
2ZON,pdb2zon.ent.gz,G
3RKL,pdb3rkl.ent.gz,A
4JCL,pdb4jcl.ent.gz,A
2EPJ,pdb2epj.ent.gz,A
5MY8,pdb5my8.ent.gz,A
6XMR,pdb6xmr.ent.gz,A
3KSX,pdb3ksx.ent.gz,A
4MWI,pdb4mwi.ent.gz,A
3IEE,pdb3iee.ent.gz,A
4EXL,pdb4exl.ent.gz,A
5VVE,pdb5vve.ent.gz,A
2BKA,pdb2bka.ent.gz,A
2ID3,pdb2id3.ent.gz,A
2FEX,pdb2fex.ent.gz,A
3E39,pdb3e39.ent.gz,A
5XI8,pdb5xi8.ent.gz,A
3PG6,pdb3pg6.ent.gz,A
4YWZ,pdb4ywz.ent.gz,A
7EL3,7EL3.pdb.gz,A
3IQ2,pdb3iq2.ent.gz,A
4LBA,pdb4lba.ent.gz,A
6CII,pdb6cii.ent.gz,A
3W9S,pdb3w9s.ent.gz,A
2UYW,pdb2uyw.ent.gz,A
1MFA,pdb1mfa.ent.gz,L
1MFA,pdb1mfa.ent.gz,H
5OMM,pdb5omm.ent.gz,C
6X39,pdb6x39.ent.gz,A
3GA8,pdb3ga8.ent.gz,A
6GRR,pdb6grr.ent.gz,B
3JSZ,pdb3jsz.ent.gz,A
3IVE,pdb3ive.ent.gz,A
1VCL,pdb1vcl.ent.gz,A
1JHD,pdb1jhd.ent.gz,A
4P0F,pdb4p0f.ent.gz,A
6Y0K,6Y0K.pdb.gz,AAA
1OBF,pdb1obf.ent.gz,O
2R85,pdb2r85.ent.gz,A
6T2W,pdb6t2w.ent.gz,A
4MJ3,pdb4mj3.ent.gz,A
6KBL,pdb6kbl.ent.gz,A
3B8B,pdb3b8b.ent.gz,A
4KIE,pdb4kie.ent.gz,A
1YCD,pdb1ycd.ent.gz,A
4G9B,pdb4g9b.ent.gz,A
6CIU,pdb6ciu.ent.gz,A
2X47,pdb2x47.ent.gz,A
3HN5,pdb3hn5.ent.gz,A
4MVN,pdb4mvn.ent.gz,A
4ZBY,pdb4zby.ent.gz,A
1Y63,pdb1y63.ent.gz,A
7WME,7WME.pdb.gz,A
4P3K,pdb4p3k.ent.gz,A
3CXK,pdb3cxk.ent.gz,A
1YOC,pdb1yoc.ent.gz,A
4POB,pdb4pob.ent.gz,A
4RT1,pdb4rt1.ent.gz,A
4H5S,pdb4h5s.ent.gz,A
4H5S,pdb4h5s.ent.gz,B
1FRD,pdb1frd.ent.gz,A
1YN8,pdb1yn8.ent.gz,A
1W27,pdb1w27.ent.gz,A
5VCC,pdb5vcc.ent.gz,A
5GZK,pdb5gzk.ent.gz,A
4G22,pdb4g22.ent.gz,A
4S3K,pdb4s3k.ent.gz,A
3PGU,pdb3pgu.ent.gz,A
2IYA,pdb2iya.ent.gz,A
6MQH,pdb6mqh.ent.gz,A
5H38,pdb5h38.ent.gz,A
3BXP,pdb3bxp.ent.gz,A
3KV1,pdb3kv1.ent.gz,A
3QNM,pdb3qnm.ent.gz,A
6JV4,pdb6jv4.ent.gz,A
5IZE,pdb5ize.ent.gz,A
2DXE,pdb2dxe.ent.gz,A
3IJM,pdb3ijm.ent.gz,A
4LGO,pdb4lgo.ent.gz,A
4QDN,pdb4qdn.ent.gz,A
1U5D,pdb1u5d.ent.gz,A
4EAM,pdb4eam.ent.gz,A
6A8M,pdb6a8m.ent.gz,A
6O0A,pdb6o0a.ent.gz,A
5OCP,pdb5ocp.ent.gz,A
3GCZ,pdb3gcz.ent.gz,A
1AKO,pdb1ako.ent.gz,A
3MX6,pdb3mx6.ent.gz,A
2Q8W,pdb2q8w.ent.gz,A
4C97,pdb4c97.ent.gz,A
3SD7,pdb3sd7.ent.gz,A
4YMI,pdb4ymi.ent.gz,A
7PS3,7PS3.pdb.gz,H
3WHX,pdb3whx.ent.gz,A
6L1M,pdb6l1m.ent.gz,A
3RWO,pdb3rwo.ent.gz,A
1WDV,pdb1wdv.ent.gz,A
4I4K,pdb4i4k.ent.gz,A
3U2A,pdb3u2a.ent.gz,A
4LD6,pdb4ld6.ent.gz,A
1MOF,pdb1mof.ent.gz,A
5YZO,pdb5yzo.ent.gz,A
2IWK,pdb2iwk.ent.gz,A
7YZN,7YZN.pdb.gz,A
1P3D,pdb1p3d.ent.gz,A
7APE,pdb7ape.ent.gz,A
4AW2,pdb4aw2.ent.gz,A
3HRP,pdb3hrp.ent.gz,A
3B0P,pdb3b0p.ent.gz,A
2OXN,pdb2oxn.ent.gz,A
3ZBQ,pdb3zbq.ent.gz,A
6AOR,pdb6aor.ent.gz,A
6ECW,pdb6ecw.ent.gz,A
4LAY,pdb4lay.ent.gz,A
3CSS,pdb3css.ent.gz,A
6W4U,pdb6w4u.ent.gz,A
2RFA,pdb2rfa.ent.gz,A
2PET,pdb2pet.ent.gz,A
4P5M,pdb4p5m.ent.gz,B
3MXO,pdb3mxo.ent.gz,A
4P5M,pdb4p5m.ent.gz,A
7QS2,7QS2.pdb.gz,A
6AOR,pdb6aor.ent.gz,B
1D1Q,pdb1d1q.ent.gz,A
2D4P,pdb2d4p.ent.gz,A
7YF1,7YF1.pdb.gz,A
7YVZ,7YVZ.pdb.gz,A
4GV5,pdb4gv5.ent.gz,A
3GBE,pdb3gbe.ent.gz,A
1LJ8,pdb1lj8.ent.gz,A
6C0E,pdb6c0e.ent.gz,A
7Q9E,7Q9E.pdb.gz,A
5X30,pdb5x30.ent.gz,A
4GS1,pdb4gs1.ent.gz,A
5OCS,pdb5ocs.ent.gz,A
5MK2,pdb5mk2.ent.gz,A
7QE4,7QE4.pdb.gz,AAA
7ESB,7ESB.pdb.gz,A
4JCI,pdb4jci.ent.gz,A
4WJM,pdb4wjm.ent.gz,A
2WY8,pdb2wy8.ent.gz,A
4GN8,pdb4gn8.ent.gz,A
4D4Z,pdb4d4z.ent.gz,A
4PCH,pdb4pch.ent.gz,A
3BM3,pdb3bm3.ent.gz,A
3ZYL,pdb3zyl.ent.gz,A
5G1L,pdb5g1l.ent.gz,A
2ACT,pdb2act.ent.gz,A
2X8R,pdb2x8r.ent.gz,A
3FD3,pdb3fd3.ent.gz,A
2IDL,pdb2idl.ent.gz,A
2WY8,pdb2wy8.ent.gz,Q
4HVT,pdb4hvt.ent.gz,A
3HQ1,pdb3hq1.ent.gz,A
3UGF,pdb3ugf.ent.gz,A
4B91,pdb4b91.ent.gz,A
6HJF,pdb6hjf.ent.gz,A
6DVH,pdb6dvh.ent.gz,A
2BW0,pdb2bw0.ent.gz,A
7CI0,pdb7ci0.ent.gz,A
1SPJ,pdb1spj.ent.gz,A
6NNW,pdb6nnw.ent.gz,A
3U04,pdb3u04.ent.gz,A
3Q34,pdb3q34.ent.gz,A
4L83,pdb4l83.ent.gz,A
2VAC,pdb2vac.ent.gz,A
4Y6I,pdb4y6i.ent.gz,A
2BKY,pdb2bky.ent.gz,A
2BKY,pdb2bky.ent.gz,X
6HPR,pdb6hpr.ent.gz,A
4R84,pdb4r84.ent.gz,A
5VAK,pdb5vak.ent.gz,A
5NX8,pdb5nx8.ent.gz,A
4QBU,pdb4qbu.ent.gz,A
7VRD,7VRD.pdb.gz,A
5EIN,pdb5ein.ent.gz,A
4YLE,pdb4yle.ent.gz,A
6ECB,pdb6ecb.ent.gz,A
3O0D,pdb3o0d.ent.gz,A
2XVY,pdb2xvy.ent.gz,A
2QK1,pdb2qk1.ent.gz,A
7N05,7N05.pdb.gz,H
1A0J,pdb1a0j.ent.gz,A
6ARP,pdb6arp.ent.gz,B
3ETN,pdb3etn.ent.gz,A
7N05,7N05.pdb.gz,L
6K0Y,pdb6k0y.ent.gz,A
6ARP,pdb6arp.ent.gz,A
7RJ9,7RJ9.pdb.gz,A
4MLM,pdb4mlm.ent.gz,A
4K5C,pdb4k5c.ent.gz,A
4JB8,pdb4jb8.ent.gz,P
6JF8,pdb6jf8.ent.gz,A
4ZU4,pdb4zu4.ent.gz,A
3S4K,pdb3s4k.ent.gz,A
5VAK,pdb5vak.ent.gz,B
5IM0,pdb5im0.ent.gz,A
2YIZ,pdb2yiz.ent.gz,A
4KMF,pdb4kmf.ent.gz,A
2ZWA,pdb2zwa.ent.gz,A
5G0A,pdb5g0a.ent.gz,A
7B4I,7B4I.pdb.gz,AAA
3LDU,pdb3ldu.ent.gz,A
1GU7,pdb1gu7.ent.gz,A
5D3Q,pdb5d3q.ent.gz,A
5DI0,pdb5di0.ent.gz,A
1FND,pdb1fnd.ent.gz,A
3CJY,pdb3cjy.ent.gz,A
5NBH,pdb5nbh.ent.gz,A
2AVD,pdb2avd.ent.gz,A
5CO4,pdb5co4.ent.gz,A
5FVJ,pdb5fvj.ent.gz,A
5JG7,pdb5jg7.ent.gz,A
1Y7R,pdb1y7r.ent.gz,A
3GWM,pdb3gwm.ent.gz,A
8HE6,8HE6.pdb.gz,A
2MSB,pdb2msb.ent.gz,A
5E3E,pdb5e3e.ent.gz,B
2Y5C,pdb2y5c.ent.gz,A
5E3E,pdb5e3e.ent.gz,A
1CTF,pdb1ctf.ent.gz,A
1P1J,pdb1p1j.ent.gz,A
2O2P,pdb2o2p.ent.gz,A
4AK5,pdb4ak5.ent.gz,A
1ZY7,pdb1zy7.ent.gz,A
4IJN,pdb4ijn.ent.gz,A
6SW2,pdb6sw2.ent.gz,A
3TGH,pdb3tgh.ent.gz,A
8A1B,8A1B.pdb.gz,A
4NK4,pdb4nk4.ent.gz,A
5LKY,pdb5lky.ent.gz,A
3JXG,pdb3jxg.ent.gz,A
4D5C,pdb4d5c.ent.gz,A
6GYW,pdb6gyw.ent.gz,A
3FAJ,pdb3faj.ent.gz,A
1UT1,pdb1ut1.ent.gz,A
3FSD,pdb3fsd.ent.gz,A
1COT,pdb1cot.ent.gz,A
3H1G,pdb3h1g.ent.gz,A
1W41,pdb1w41.ent.gz,A
1HP1,pdb1hp1.ent.gz,A
3CJ1,pdb3cj1.ent.gz,A
4UF7,pdb4uf7.ent.gz,A
3FY1,pdb3fy1.ent.gz,A
3IUP,pdb3iup.ent.gz,A
6SF4,pdb6sf4.ent.gz,A
6FJL,pdb6fjl.ent.gz,A
1NHC,pdb1nhc.ent.gz,A
4EAR,pdb4ear.ent.gz,A
3NQX,pdb3nqx.ent.gz,A
1G0O,pdb1g0o.ent.gz,A
4FBC,pdb4fbc.ent.gz,A
1WXI,pdb1wxi.ent.gz,A
5MLD,pdb5mld.ent.gz,A
1JW9,pdb1jw9.ent.gz,B
3MMG,pdb3mmg.ent.gz,A
3QSJ,pdb3qsj.ent.gz,A
2VG0,pdb2vg0.ent.gz,A
7DF2,pdb7df2.ent.gz,A
1Y80,pdb1y80.ent.gz,A
1RYB,pdb1ryb.ent.gz,A
4LSO,pdb4lso.ent.gz,A
4UF7,pdb4uf7.ent.gz,C
5JP5,pdb5jp5.ent.gz,A
3KG0,pdb3kg0.ent.gz,A
1YRK,pdb1yrk.ent.gz,A
3QXT,pdb3qxt.ent.gz,A
3OSE,pdb3ose.ent.gz,A
5IR3,pdb5ir3.ent.gz,A
3D33,pdb3d33.ent.gz,A
2BO1,pdb2bo1.ent.gz,A
3OZZ,pdb3ozz.ent.gz,B
4OLN,pdb4oln.ent.gz,A
5NSL,pdb5nsl.ent.gz,A
7C3H,pdb7c3h.ent.gz,A
6L8I,pdb6l8i.ent.gz,A
5WXU,pdb5wxu.ent.gz,A
3ZX3,pdb3zx3.ent.gz,A
3B8X,pdb3b8x.ent.gz,A
5JRJ,pdb5jrj.ent.gz,A
3SKP,pdb3skp.ent.gz,A
2QM8,pdb2qm8.ent.gz,A
2QUY,pdb2quy.ent.gz,A
3A3X,pdb3a3x.ent.gz,A
5U0V,pdb5u0v.ent.gz,A
6CQS,pdb6cqs.ent.gz,A
1QHF,pdb1qhf.ent.gz,A
4HVF,pdb4hvf.ent.gz,A
3WYW,pdb3wyw.ent.gz,A
2LTN,pdb2ltn.ent.gz,A
2IGI,pdb2igi.ent.gz,A
2BJN,pdb2bjn.ent.gz,A
2IHD,pdb2ihd.ent.gz,A
6OE6,pdb6oe6.ent.gz,A
3S8I,pdb3s8i.ent.gz,A
6P4N,pdb6p4n.ent.gz,A
4ZY7,pdb4zy7.ent.gz,A
6T2J,pdb6t2j.ent.gz,A
3FKC,pdb3fkc.ent.gz,A
2LTN,pdb2ltn.ent.gz,B
3UDF,pdb3udf.ent.gz,A
5J72,pdb5j72.ent.gz,A
6DWD,pdb6dwd.ent.gz,A
4J5U,pdb4j5u.ent.gz,A
1IZC,pdb1izc.ent.gz,A
1QUS,pdb1qus.ent.gz,A
1SBP,pdb1sbp.ent.gz,A
4DO7,pdb4do7.ent.gz,A
3FS8,pdb3fs8.ent.gz,A
3ILS,pdb3ils.ent.gz,A
3FPK,pdb3fpk.ent.gz,A
7OX3,7OX3.pdb.gz,A
3BOD,pdb3bod.ent.gz,A
5HRB,pdb5hrb.ent.gz,A
1UQR,pdb1uqr.ent.gz,A
4KG3,pdb4kg3.ent.gz,A
2PN0,pdb2pn0.ent.gz,A
7OX3,7OX3.pdb.gz,C
1J27,pdb1j27.ent.gz,A
5DTC,pdb5dtc.ent.gz,A
7C0Y,pdb7c0y.ent.gz,A
5BPH,pdb5bph.ent.gz,A
2QIB,pdb2qib.ent.gz,A
6L3S,pdb6l3s.ent.gz,A
1B4P,pdb1b4p.ent.gz,A
2D37,pdb2d37.ent.gz,A
1JVW,pdb1jvw.ent.gz,A
5DOF,pdb5dof.ent.gz,A
6DNL,pdb6dnl.ent.gz,A
5RUB,pdb5rub.ent.gz,A
2HXT,pdb2hxt.ent.gz,A
6T5T,pdb6t5t.ent.gz,A
4DMG,pdb4dmg.ent.gz,A
1NSC,pdb1nsc.ent.gz,A
2DVT,pdb2dvt.ent.gz,A
3HDJ,pdb3hdj.ent.gz,A
4WK5,pdb4wk5.ent.gz,A
2PUR,pdb2pur.ent.gz,A
2F6R,pdb2f6r.ent.gz,A
3NOL,pdb3nol.ent.gz,A
2OZV,pdb2ozv.ent.gz,A
5NPH,pdb5nph.ent.gz,H
5WOL,pdb5wol.ent.gz,A
4MKO,pdb4mko.ent.gz,A
7V5N,7V5N.pdb.gz,B
2G40,pdb2g40.ent.gz,A
2PCJ,pdb2pcj.ent.gz,A
1D02,pdb1d02.ent.gz,A
3CRY,pdb3cry.ent.gz,A
3H51,pdb3h51.ent.gz,A
5JDS,pdb5jds.ent.gz,B
2JAB,pdb2jab.ent.gz,A
4FBO,pdb4fbo.ent.gz,A
4OB5,pdb4ob5.ent.gz,H
2A9I,pdb2a9i.ent.gz,A
2PLI,pdb2pli.ent.gz,A
7VUR,7VUR.pdb.gz,A
5B2P,pdb5b2p.ent.gz,A
1W9P,pdb1w9p.ent.gz,A
2DWC,pdb2dwc.ent.gz,A
3MTW,pdb3mtw.ent.gz,A
2VAP,pdb2vap.ent.gz,A
3T7A,pdb3t7a.ent.gz,A
4ASZ,pdb4asz.ent.gz,A
4G75,pdb4g75.ent.gz,A
3MHP,pdb3mhp.ent.gz,A
4X1O,pdb4x1o.ent.gz,A
2AXC,pdb2axc.ent.gz,A
2PWY,pdb2pwy.ent.gz,A
4KN5,pdb4kn5.ent.gz,A
3BL6,pdb3bl6.ent.gz,A
6DC4,pdb6dc4.ent.gz,H
6DC4,pdb6dc4.ent.gz,L
1YTQ,pdb1ytq.ent.gz,A
3F5R,pdb3f5r.ent.gz,A
5EF9,pdb5ef9.ent.gz,A
1CZN,pdb1czn.ent.gz,A
3D01,pdb3d01.ent.gz,A
2RIQ,pdb2riq.ent.gz,A
5T1X,pdb5t1x.ent.gz,A
5T1X,pdb5t1x.ent.gz,B
2Y4Y,pdb2y4y.ent.gz,A
5CE6,pdb5ce6.ent.gz,A
5XJN,pdb5xjn.ent.gz,A
2PLJ,pdb2plj.ent.gz,A
6I8O,pdb6i8o.ent.gz,A
3C9X,pdb3c9x.ent.gz,A
3LI9,pdb3li9.ent.gz,A
7WNJ,7WNJ.pdb.gz,A
3BFM,pdb3bfm.ent.gz,A
4WUK,pdb4wuk.ent.gz,H
3MLY,pdb3mly.ent.gz,H
6YI4,6YI4.pdb.gz,AAA
3TXY,pdb3txy.ent.gz,A
2UVP,pdb2uvp.ent.gz,A
3S8K,pdb3s8k.ent.gz,A
5H7R,pdb5h7r.ent.gz,D
4J39,pdb4j39.ent.gz,A
2VM1,pdb2vm1.ent.gz,A
5Y4U,pdb5y4u.ent.gz,A
2RA4,pdb2ra4.ent.gz,A
1MTY,pdb1mty.ent.gz,D
2I71,pdb2i71.ent.gz,A
2IFC,pdb2ifc.ent.gz,A
1MTY,pdb1mty.ent.gz,B
3BIY,pdb3biy.ent.gz,A
6JIF,pdb6jif.ent.gz,A
2ZPU,pdb2zpu.ent.gz,A
3ADO,pdb3ado.ent.gz,A
2FQX,pdb2fqx.ent.gz,A
6Y9E,pdb6y9e.ent.gz,A
3MWF,pdb3mwf.ent.gz,A
6NOP,pdb6nop.ent.gz,A
1MO0,pdb1mo0.ent.gz,A
4Z9X,pdb4z9x.ent.gz,A
6MRA,pdb6mra.ent.gz,B
4DYG,pdb4dyg.ent.gz,A
2FWV,pdb2fwv.ent.gz,A
4ZXG,pdb4zxg.ent.gz,A
6MRA,pdb6mra.ent.gz,A
3EFY,pdb3efy.ent.gz,A
2RHM,pdb2rhm.ent.gz,A
1MTY,pdb1mty.ent.gz,G
3DD7,pdb3dd7.ent.gz,A
7MFU,pdb7mfu.ent.gz,C
7MFU,pdb7mfu.ent.gz,B
6WZ0,pdb6wz0.ent.gz,A
3E7H,pdb3e7h.ent.gz,A
3NA5,pdb3na5.ent.gz,A
1PMI,pdb1pmi.ent.gz,A
3TSA,pdb3tsa.ent.gz,A
4N0T,pdb4n0t.ent.gz,A
3W6P,pdb3w6p.ent.gz,A
7AAK,pdb7aak.ent.gz,A
7MFO,pdb7mfo.ent.gz,A
6MD5,pdb6md5.ent.gz,A
2I0O,pdb2i0o.ent.gz,A
7QRW,7QRW.pdb.gz,A
1UEK,pdb1uek.ent.gz,A
3KYO,pdb3kyo.ent.gz,A
3AB8,pdb3ab8.ent.gz,A
2UZ0,pdb2uz0.ent.gz,A
1E6W,pdb1e6w.ent.gz,A
6IJ2,pdb6ij2.ent.gz,A
1FDR,pdb1fdr.ent.gz,A
1AGJ,pdb1agj.ent.gz,A
1FON,pdb1fon.ent.gz,A
2JBH,pdb2jbh.ent.gz,A
1OQ1,pdb1oq1.ent.gz,A
7BNR,pdb7bnr.ent.gz,A
2BUE,pdb2bue.ent.gz,A
7KIZ,pdb7kiz.ent.gz,A
4P09,pdb4p09.ent.gz,A
5LDQ,pdb5ldq.ent.gz,A
1V9T,pdb1v9t.ent.gz,A
2WCR,pdb2wcr.ent.gz,A
4JZU,pdb4jzu.ent.gz,A
3H6X,pdb3h6x.ent.gz,A
3TE8,pdb3te8.ent.gz,A
2RH3,pdb2rh3.ent.gz,A
4Z4A,pdb4z4a.ent.gz,A
2IWO,pdb2iwo.ent.gz,A
2HAH,pdb2hah.ent.gz,A
1OSY,pdb1osy.ent.gz,A
2P3W,pdb2p3w.ent.gz,A
6JX3,pdb6jx3.ent.gz,B
1IUE,pdb1iue.ent.gz,A
3I5R,pdb3i5r.ent.gz,A
4QF2,pdb4qf2.ent.gz,A
3RRS,pdb3rrs.ent.gz,A
1PB1,pdb1pb1.ent.gz,A
3GT5,pdb3gt5.ent.gz,A
1T6E,pdb1t6e.ent.gz,X
2V7K,pdb2v7k.ent.gz,A
1Z15,pdb1z15.ent.gz,A
5W7M,pdb5w7m.ent.gz,A
1DMH,pdb1dmh.ent.gz,A
3CFZ,pdb3cfz.ent.gz,A
1EYE,pdb1eye.ent.gz,A
1ZVT,pdb1zvt.ent.gz,A
3VZH,pdb3vzh.ent.gz,A
3KVH,pdb3kvh.ent.gz,A
5HNO,pdb5hno.ent.gz,A
4G29,pdb4g29.ent.gz,A
1U17,pdb1u17.ent.gz,A
3L00,pdb3l00.ent.gz,A
2VXZ,pdb2vxz.ent.gz,A
2HKV,pdb2hkv.ent.gz,A
4D6Y,pdb4d6y.ent.gz,A
1NB9,pdb1nb9.ent.gz,A
1VMB,pdb1vmb.ent.gz,A
4Q0Y,pdb4q0y.ent.gz,A
5CXM,pdb5cxm.ent.gz,A
5ZDI,pdb5zdi.ent.gz,A
7YWS,7YWS.pdb.gz,A
1R6V,pdb1r6v.ent.gz,A
2BII,pdb2bii.ent.gz,A
2OHH,pdb2ohh.ent.gz,A
2VXY,pdb2vxy.ent.gz,A
3VKJ,pdb3vkj.ent.gz,A
2NTP,pdb2ntp.ent.gz,A
1ELV,pdb1elv.ent.gz,A
7CRA,pdb7cra.ent.gz,A
4P4G,pdb4p4g.ent.gz,A
4X3L,pdb4x3l.ent.gz,A
6XK1,pdb6xk1.ent.gz,A
6S5F,pdb6s5f.ent.gz,A
7N12,pdb7n12.ent.gz,A
1KAO,pdb1kao.ent.gz,A
5D5P,pdb5d5p.ent.gz,A
1WO8,pdb1wo8.ent.gz,A
3B7C,pdb3b7c.ent.gz,A
1B2P,pdb1b2p.ent.gz,A
4F8K,pdb4f8k.ent.gz,A
1MGR,pdb1mgr.ent.gz,A
6RSN,pdb6rsn.ent.gz,A
3BYP,pdb3byp.ent.gz,A
3C4S,pdb3c4s.ent.gz,A
2Z8G,pdb2z8g.ent.gz,A
2DBN,pdb2dbn.ent.gz,A
4JHN,pdb4jhn.ent.gz,A
4U6D,pdb4u6d.ent.gz,A
1YDY,pdb1ydy.ent.gz,A
3UQ8,pdb3uq8.ent.gz,A
5CEN,pdb5cen.ent.gz,A
1LVW,pdb1lvw.ent.gz,A
2FY7,pdb2fy7.ent.gz,A
6VJ4,pdb6vj4.ent.gz,A
5VYR,pdb5vyr.ent.gz,A
6RYK,pdb6ryk.ent.gz,A
4U9S,pdb4u9s.ent.gz,C
5ZTC,pdb5ztc.ent.gz,A
2NX4,pdb2nx4.ent.gz,A
4WP6,pdb4wp6.ent.gz,A
6BFF,pdb6bff.ent.gz,A
1XSV,pdb1xsv.ent.gz,A
6TR1,pdb6tr1.ent.gz,C
1J2L,pdb1j2l.ent.gz,A
7DJM,7DJM.pdb.gz,A
1CJC,pdb1cjc.ent.gz,A
4YVD,pdb4yvd.ent.gz,A
3ZWF,pdb3zwf.ent.gz,A
2FFC,pdb2ffc.ent.gz,A
1WY2,pdb1wy2.ent.gz,A
4W82,pdb4w82.ent.gz,A
6NBP,pdb6nbp.ent.gz,A
3G1T,pdb3g1t.ent.gz,A
5WCJ,pdb5wcj.ent.gz,A
2J13,pdb2j13.ent.gz,A
3R8Y,pdb3r8y.ent.gz,A
5ZFG,pdb5zfg.ent.gz,A
4F57,pdb4f57.ent.gz,H
2V9T,pdb2v9t.ent.gz,B
2Z84,pdb2z84.ent.gz,A
8DFR,pdb8dfr.ent.gz,A
2RJ2,pdb2rj2.ent.gz,A
2H17,pdb2h17.ent.gz,A
1RXQ,pdb1rxq.ent.gz,A
4OKE,pdb4oke.ent.gz,A
5FWO,pdb5fwo.ent.gz,A
4ADZ,pdb4adz.ent.gz,A
3KHQ,pdb3khq.ent.gz,A
7Z9F,7Z9F.pdb.gz,B
2V9T,pdb2v9t.ent.gz,A
2NNR,pdb2nnr.ent.gz,A
3DZW,pdb3dzw.ent.gz,A
2OBP,pdb2obp.ent.gz,A
3C05,pdb3c05.ent.gz,B
3C05,pdb3c05.ent.gz,A
4UJ0,pdb4uj0.ent.gz,A
6Z2F,pdb6z2f.ent.gz,A
6PC0,pdb6pc0.ent.gz,A
2C81,pdb2c81.ent.gz,A
1A12,pdb1a12.ent.gz,A
2YXX,pdb2yxx.ent.gz,A
1NVM,pdb1nvm.ent.gz,A
3GS9,pdb3gs9.ent.gz,A
3VXG,pdb3vxg.ent.gz,A
5NNY,pdb5nny.ent.gz,A
1NVM,pdb1nvm.ent.gz,B
1TWD,pdb1twd.ent.gz,A
6DW2,pdb6dw2.ent.gz,B
6A9F,pdb6a9f.ent.gz,A
4Z85,pdb4z85.ent.gz,A
1XI3,pdb1xi3.ent.gz,A
5CZ1,pdb5cz1.ent.gz,A
1H0A,pdb1h0a.ent.gz,A
4RBR,pdb4rbr.ent.gz,A
1PDO,pdb1pdo.ent.gz,A
